mix_scale,jitter_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1e-06,0.0005,18,0.759367636999316,0.7015079188621409,0.7200188037765023,562.4653796458159,0.23343294399091974,1.9172153498450513,0.0303075405644792,1.7500000000000002e-06,0.001,0.0010000015312488276,30.307494156164307,0.032995139579911716
1e-06,0.0005,19,0.7018824433346139,0.6391451831678772,0.8958795665865853,568.5912408759124,0.23462122125783935,1.9264355681936953,0.029435802242523845,1.7500000000000002e-06,0.001,0.0010000015312488276,29.43575716905519,0.03397228731901845
1e-06,0.0005,20,0.7598088337315964,0.701957386781358,0.724642080466438,570.4288136899714,0.22962077771080658,1.9089376397375875,0.03131739641593461,1.7500000000000002e-06,0.001,0.0010000015312488276,31.317348461281494,0.0319311834856111
1e-06,0.0005,21,0.7717964162023792,0.7179909419199756,0.6770405465323864,557.1812979972896,0.2369794675905723,1.9459166025027306,0.031866371664478546,1.7500000000000002e-06,0.001,0.0010000015312488276,31.86632286920901,0.03138109169684761
1e-06,0.0005,22,0.7534462091699131,0.6937712039404218,0.7492232303785568,554.431225651783,0.278220765554579,2.0872420845715443,0.0295946181990451,1.7500000000000002e-06,0.001,0.0010000015312488276,29.594572882390068,0.03378997912806639
1e-06,0.0005,23,0.7108157653528873,0.6415366701547088,0.8742303128444093,565.2529789184234,0.2098865252919495,1.8257811941720559,0.030609878762942428,1.7500000000000002e-06,0.001,0.0010000015312488276,30.60983189167323,0.032669241815471366
1e-06,0.0005,24,0.7551097940885951,0.6981823093224611,0.7272804522234978,562.2947344426715,0.24424705165438354,1.9559624686416965,0.030575000040934455,1.7500000000000002e-06,0.001,0.0010000015312488276,30.574953223073177,0.032706509563695974
1e-06,0.0005,25,0.7538658821754545,0.7008695212242805,0.7223946705923204,558.2301425661915,0.2187990472302772,1.868218777516005,0.029695608040403318,1.7500000000000002e-06,0.001,0.0010000015312488276,29.69556256910795,0.03367506500921764
1e-06,0.0005,26,0.7598440247725361,0.7056399081747868,0.7080132022595549,565.8138236868263,0.20809595627360977,1.8245603662378067,0.031144846667034518,1.7500000000000002e-06,0.001,0.0010000015312488276,31.1447989765976,0.032108089724753285
1e-06,0.0005,27,0.7531380753138075,0.6966982994654656,0.732194724990563,552.9426180514047,0.316133014857769,2.2176683337225542,0.03188234086480437,1.7500000000000002e-06,0.001,0.0010000015312488276,31.882292045082053,0.031365373561787355
1e-06,0.0005,28,0.7739293764087153,0.7195199064917372,0.6806152502876502,556.0112697220135,0.21730968041811138,1.8586897773238622,0.031168788480318288,1.7500000000000002e-06,0.001,0.0010000015312488276,31.16874075322055,0.03208342640203306
1e-06,0.0005,29,0.7591514780211365,0.7022730712871702,0.715609587811617,566.7221626589064,0.24560648479382508,1.9806206557719936,0.031222145547655265,1.7500000000000002e-06,0.001,0.0010000015312488276,31.222097738854707,0.03202859744928472
1e-06,0.002,0,0.42684492786464234,0.35037680266323695,1.9380230487515593,558.9877634262407,0.20184449609951116,1.7644202599636256,0.029978612137623924,1.7500000000000002e-06,0.004,0.0040000003828124815,7.494652317144368,0.13342847108630418
1e-06,0.002,1,0.42960536340088373,0.3535157460680375,1.923324508209776,563.7914063690386,0.23186787948361598,1.8738935859247587,0.02906272844619305,1.7500000000000002e-06,0.004,0.0040000003828124815,7.26568141619988,0.13763333990537438
1e-06,0.002,2,0.44807485810707165,0.372615522504121,1.8249438690514443,567.5899677864703,0.29364769530366175,2.095136845248618,0.03430593027662473,1.7500000000000002e-06,0.004,0.0040000003828124815,8.576481748360116,0.1165979278380913
1e-06,0.002,3,0.42778288868445263,0.350839367360785,1.9414633073204415,567.329346826127,0.2528776291292161,1.9515269889374844,0.028368562975182254,1.7500000000000002e-06,0.004,0.0040000003828124815,7.092140065055629,0.14100116337622784
1e-06,0.002,4,0.46926168502530513,0.3922578387488074,1.7781959293029888,550.8064900267937,0.2310894263209775,1.8846623013367907,0.0301581345499332,1.7500000000000002e-06,0.004,0.0040000003828124815,7.539532915926474,0.13263421105140408
