p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,3.0,25,0.04,0.028304093567251457,0.0176,296.61987976740016,,,,,,,,
0.01,3.0,26,0.0,0.02128654970760234,0.01576,296.79465710632644,,,,,,,,
0.01,3.0,27,0.04,0.02549707602339181,0.0166,295.93197369893545,,,,,,,,
0.01,3.0,28,0.08,0.061836945304437556,0.01692,296.0895528233833,,,,,,,,
0.01,3.0,29,0.08,0.03859649122807017,0.01624,296.0834260546998,,,,,,,,
0.01,3.0,30,0.0,0.017076023391812866,0.01576,295.61062840672764,,,,,,,,
0.01,3.0,31,0.04,0.02807017543859649,0.01624,295.6477013588319,,,,,,,,
0.01,3.0,32,0.0,0.026240110079119364,0.018080000000000002,295.7197290687676,,,,,,,,
0.01,3.0,33,0.04,0.05248022015823873,0.0166,295.34498035388776,,,,,,,,
0.01,3.0,34,0.68,0.06768489852081183,0.018040000000000004,296.1093082169941,,,,,,,,
0.01,3.0,35,0.0,0.02549707602339181,0.0174,296.8017968742921,,,,,,,,
0.01,3.0,36,0.04,0.021052631578947368,0.01668,296.657205001746,,,,,,,,
0.01,3.0,37,0.0,0.028345373237014106,0.01528,295.85835927289537,,,,,,,,
0.01,3.0,38,0.12,0.032280701754385965,0.018040000000000004,296.511240213564,,,,,,,,
0.01,3.0,39,0.04,0.01894736842105263,0.0154,295.8697235430586,,,,,,,,
0.01,3.0,40,0.04,0.03910560715514275,0.017240000000000002,296.44735910496274,,,,,,,,
0.01,3.0,41,0.0,0.01894736842105263,0.01652,295.883608332491,,,,,,,,
0.01,3.0,42,0.0,0.02807017543859649,0.016560000000000002,296.06278910077674,,,,,,,,
0.01,3.0,43,0.0,0.02526315789473684,0.015960000000000002,295.9545175362802,,,,,,,,
0.01,3.0,44,0.0,0.0343859649122807,0.01684,296.6029373767118,,,,,,,,
0.01,3.0,45,0.04,0.023625730994152043,0.016280000000000003,296.0532188627546,,,,,,,,
