p_s,shape,rep,stake_top_jaccard,stake_confidence,stake_top1_hit,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.02,1.2,14,0.2802499461322991,0.00992,1.0,591.6222323278758,,,,,,,,
0.02,1.2,15,0.4826340326340326,0.011160000000000002,0.28,591.2786298765161,,,,,,,,
0.02,1.2,16,0.31747683688860157,0.01024,1.0,591.5863107596164,,,,,,,,
0.02,1.2,17,0.08097695218438253,0.004240000000000001,1.0,595.6563906116158,,,,,,,,
0.02,1.2,18,0.49586080586080583,0.011320000000000002,1.0,589.8288094418336,,,,,,,,
0.02,1.2,19,0.6485647685647686,0.01148,0.52,591.7359520791725,,,,,,,,
0.02,1.2,20,0.06694186446508428,0.0016400000000000004,1.0,598.3104602602651,,,,,,,,
0.02,1.2,21,0.32526395173454,0.011200000000000002,1.0,592.5477335166887,,,,,,,,
0.02,1.2,22,0.3158148387560152,0.01376,0.92,590.9808180308451,,,,,,,,
0.02,1.2,23,0.6046486846486847,0.01064,1.0,589.8118250945403,,,,,,,,
0.02,1.2,24,0.39299876593994243,0.011920000000000002,1.0,591.7197497866764,,,,,,,,
0.02,1.2,25,0.3487912087912088,0.011160000000000002,1.0,591.3244539330989,,,,,,,,
0.02,1.2,26,0.2004712762297902,0.011880000000000002,1.0,592.7414451270855,,,,,,,,
0.02,1.2,27,0.4917216117216118,0.011080000000000001,1.0,590.516883656762,,,,,,,,
0.02,1.2,28,0.47291042291042296,0.01148,1.0,591.512914309614,,,,,,,,
0.02,1.2,29,0.42007326007326007,0.011920000000000002,1.0,591.9208608524818,,,,,,,,
0.02,1.2,30,0.269094304388422,0.011080000000000001,0.28,591.4049419532197,,,,,,,,
0.02,1.2,31,0.2596638655462185,0.012640000000000002,1.0,589.4734746734134,,,,,,,,
0.02,1.2,32,0.3884249084249084,0.011200000000000002,1.0,590.9404097689786,,,,,,,,
0.02,1.2,33,0.4542124542124542,0.011320000000000002,1.0,590.5811823640454,,,,,,,,
0.02,1.2,34,0.20326797385620918,0.00712,1.0,594.1226944232009,,,,,,,,
0.02,1.2,35,0.4331760396466279,0.011320000000000002,1.0,591.8651141246055,,,,,,,,
0.02,1.2,36,0.3385972850678733,0.01052,1.0,592.9272083915289,,,,,,,,
0.02,1.2,37,0.4224542124542125,0.011960000000000002,1.0,591.0259270260545,,,,,,,,
0.02,1.2,38,0.2758055016878546,0.010960000000000001,1.0,591.9149652170821,,,,,,,,
0.02,1.2,39,0.384029304029304,0.012440000000000001,0.88,591.2288351662244,,,,,,,,
0.02,1.2,40,0.4430402930402931,0.012160000000000002,1.0,591.6996052744779,,,,,,,,
0.02,1.2,41,0.5794072594072595,0.011800000000000001,0.34,590.1384153126503,,,,,,,,
0.02,1.2,42,0.27210084033613446,0.01056,1.0,591.031503773346,,,,,,,,
0.02,1.2,43,0.3644214608920492,0.011360000000000002,0.96,591.0138536731612,,,,,,,,
0.02,1.2,44,0.35926739926739926,0.012440000000000001,1.0,593.1566718083363,,,,,,,,
0.02,1.2,45,0.3691575091575091,0.011960000000000002,0.64,590.9987087186994,,,,,,,,
0.02,1.2,46,0.42076923076923073,0.0108,1.0,590.9848936179837,,,,,,,,
0.02,1.2,47,0.4226739926739927,0.0108,0.84,591.3935946889486,,,,,,,,
0.02,1.2,48,0.23013071895424833,0.01084,1.0,588.8785591964387,,,,,,,,
0.02,1.2,49,0.3461904761904762,0.009519999999999999,1.0,591.2823629694102,,,,,,,,
0.02,1.2,50,0.37450549450549453,0.00908,1.0,589.6828886039249,,,,,,,,
0.02,1.2,51,0.5202530802530803,0.009439999999999999,1.0,591.6536163138254,,,,,,,,
0.02,1.2,52,0.3528463693169575,0.011120000000000001,1.0,591.5693141428897,,,,,,,,
0.02,1.2,53,0.37834087481146306,0.010920000000000001,1.0,588.5030021284617,,,,,,,,
0.02,1.2,54,0.42189398836457653,0.011600000000000001,1.0,590.5109952709217,,,,,,,,
0.02,1.2,55,0.2733333333333333,0.00736,1.0,596.378272929658,,,,,,,,
0.02,1.2,56,0.42816849816849817,0.011160000000000002,1.0,591.7328783755203,,,,,,,,
0.02,1.2,57,0.5315351315351315,0.01084,1.0,591.6344722071476,,,,,,,,
0.02,1.2,58,0.4156776556776557,0.010280000000000001,1.0,593.8028217796539,,,,,,,,
0.02,1.2,59,0.3401098901098901,0.01256,0.84,592.5893178150167,,,,,,,,
0.02,1.2,60,0.29427637721755373,0.01148,0.96,590.6471880188022,,,,,,,,
0.02,1.2,61,0.43959706959706957,0.012840000000000002,0.16,590.243516292858,,,,,,,,
0.02,1.2,62,0.4352747252747253,0.011640000000000001,0.48,588.9202167453637,,,,,,,,
0.02,1.2,63,0.1745751633986928,0.011120000000000001,0.36,591.1556874870456,,,,,,,,
0.02,1.2,64,0.3275026933850463,0.011000000000000001,1.0,593.5655866514896,,,,,,,,
0.02,1.2,65,0.2603641456582633,0.0076,1.0,592.3634597802813,,,,,,,,
0.02,1.2,66,0.3467183796595561,0.01072,1.0,589.5483062542655,,,,,,,,
0.02,1.2,67,0.3416648710766358,0.012240000000000003,1.0,592.4251260111132,,,,,,,,
0.02,1.2,68,0.5157767722473604,0.0102,1.0,592.077501632666,,,,,,,,
0.02,1.2,69,0.15185758513931888,0.0041600000000000005,1.0,596.3288918199729,,,,,,,,
0.02,1.2,70,0.3260482654600302,0.01064,1.0,590.1589323551924,,,,,,,,
0.02,1.2,71,0.34926739926739925,0.0108,1.0,590.7611000934251,,,,,,,,
0.02,1.2,72,0.31271793565911216,0.01152,1.0,592.8678553659479,,,,,,,,
0.02,1.2,73,0.2974768368886016,0.010320000000000001,1.0,591.0910615063875,,,,,,,,
